BEòIR                                        ,Crossmyloof Brew        ,CML BEòIR                               ,Ales              ,Medium   ,0.74 ,59  ,72
California                                   ,Crossmyloof Brew        ,CALIFORNAIN                             ,Lagers            ,Medium   ,0.79 ,59  ,71.6
Five                                         ,Crossmyloof Brew        ,                                        ,Ales              ,High     ,0.78 ,63  ,82
Four                                         ,Crossmyloof Brew        ,                                        ,Ales              ,Medium   ,0.735,59  ,72
Haze                                         ,Crossmyloof Brew        ,                                        ,Ales              ,Low      ,0.75 ,59  ,68
Hell                                         ,Crossmyloof Brew        ,                                        ,Lagers            ,High     ,0.79 ,54  ,70
HøG                                          ,Crossmyloof Brew        ,Northern European Ale Yeast             ,Ales              ,High     ,0.775,64  ,80
Kentucky                                     ,Crossmyloof Brew        ,                                        ,Ales              ,High     ,0.755,55  ,72
Kölsh                                        ,Crossmyloof Brew        ,                                        ,Lagers            ,High     ,0.77 ,59  ,71.6
KRISTALLWEIZEN                               ,Crossmyloof Brew        ,KRISTALLWEIZEN                          ,Wheat             ,Medium   ,0.76 ,64  ,82
Lille Saison                                 ,Crossmyloof Brew        ,                                        ,Ales              ,Medium   ,0.85 ,62.6,82.4
Midland                                      ,Crossmyloof Brew        ,                                        ,Ales              ,High     ,0.75 ,55  ,72
Monk                                         ,Crossmyloof Brew        ,                                        ,Ales              ,Medium   ,0.69 ,59  ,68
Pia                                          ,Crossmyloof Brew        ,                                        ,Ales              ,Medium   ,0.74 ,59  ,72
Real Ale                                     ,Crossmyloof Brew        ,DY72                                    ,Ales              ,Medium   ,0.75 ,62.6,71.6
Real Ale                                     ,Crossmyloof Brew        ,                                        ,British Ales      ,Medium   ,0.76 ,62.6,71.6
US Pale Ale                                  ,Crossmyloof Brew        ,                                        ,Ales              ,Medium   ,0.77 ,62.6,71.6
Abbaye Ale Yeast                             ,Danstar                 ,                                        ,Ale               ,Med/High ,0.75 ,63  ,77
American West Coast Yeast BRY                ,Danstar                 ,BRY-97                                  ,Ale               ,High     ,0.72 ,62  ,75
Belle Saison Yeast                           ,Danstar                 ,                                        ,Ale               ,Low      ,0.8  ,63  ,75
Cask and Bottle Conditioning CBC             ,Danstar                 ,CBC-1                                   ,Ale               ,Med/Low  ,0.72 ,59  ,77
Diamond Lager                                ,Danstar                 ,                                        ,Lager             ,High     ,0.77 ,50  ,59
Lalbrew New England East Coast Ale Yeast     ,Danstar                 ,                                        ,Ale               ,Medium   ,0.75 ,59  ,72
London ESB Yeast                             ,Danstar                 ,                                        ,Ale               ,Low      ,0.7  ,65  ,72
Munich Classic Wheat Beer Yeast              ,Danstar                 ,                                        ,Wheat             ,Low      ,0.75 ,63  ,72
Munich Dry Wheat Yeast                       ,Danstar                 ,                                        ,Wheat             ,Medium   ,0.75 ,64  ,70
Nottingham Ale Yeast                         ,Danstar                 ,                                        ,Ale               ,High     ,0.77 ,57  ,70
Windsor Ale Yeast                            ,Danstar                 ,                                        ,Ale               ,Medium   ,0.72 ,64  ,70
Baltic Lager ECY22                           ,East Coast Yeast        ,ECY22                                   ,Lager             ,Medium   ,0.77 ,46  ,54
Belgian Abbaye ECY09                         ,East Coast Yeast        ,ECY09                                   ,Ale               ,Medium   ,0.75 ,66  ,72
Belgian White ECY11                          ,East Coast Yeast        ,ECY11                                   ,Ale               ,Low      ,0.76 ,70  ,76
Berliner Blend ECY06                         ,East Coast Yeast        ,ECY06                                   ,Ale               ,Low      ,0.76 ,70  ,74
Brett Blend #1 Anomala ECY04                 ,East Coast Yeast        ,ECY04                                   ,Ale               ,Low      ,0.75 ,70  ,70
Brett Blend #9 ECY05                         ,East Coast Yeast        ,ECY05                                   ,Ale               ,Low      ,0.75 ,70  ,70
Brett Custersianus ECY19                     ,East Coast Yeast        ,ECY19                                   ,Ale               ,Low      ,0.75 ,60  ,74
Brett Nanus ECY24                            ,East Coast Yeast        ,ECY24                                   ,Ale               ,Low      ,0.75 ,70  ,70
British Mild ECY18                           ,East Coast Yeast        ,ECY18                                   ,Ale               ,Low      ,0.68 ,60  ,68
BugCounty ECY20                              ,East Coast Yeast        ,ECY20                                   ,Ale               ,Low      ,0.8  ,60  ,74
BugFarm ECY01                                ,East Coast Yeast        ,ECY01                                   ,Ale               ,Low      ,0.8  ,60  ,74
Burton Union ECY17                           ,East Coast Yeast        ,ECY17                                   ,Ale               ,Medium   ,0.74 ,64  ,69
Farmhouse Brett ECY03                        ,East Coast Yeast        ,ECY03                                   ,Ale               ,Low      ,0.75 ,70  ,70
